"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
National,X,2009,35,13008,22.2863,1798,10,11,1062,17,1,0
National,X,2009,36,14896,24.0064,2132,4,6,1416,8,10,0
National,X,2009,37,16682,25.5905,2456,4,1,1794,10,4,0
National,X,2009,38,16820,26.9917,2614,4,6,1881,24,11,0
National,X,2009,39,15419,31.98,3456,8,4,1427,24,12,0
National,X,2009,40,23980,33.5363,6178,1,2,1822,18,21,0
National,X,2009,41,29005,37.5763,8858,2,0,2003,18,18,0
National,X,2009,42,31511,39.3799,10050,4,5,2291,27,32,0
National,X,2009,43,28104,35.575,7968,1,2,1971,39,17,0
National,X,2009,44,24986,30.9253,6208,5,2,1467,21,24,0
National,X,2009,45,21788,27.6115,4812,2,2,1165,21,14,0
National,X,2009,46,18493,19.6182,2848,1,0,746,21,12,0
National,X,2009,47,13301,14.5628,1474,1,3,445,9,5,0
National,X,2009,48,13134,10.7355,1048,1,0,322,9,30,0
National,X,2009,49,11364,7.63816,630,1,3,211,7,16,0
National,X,2009,50,10494,6.44178,496,0,3,158,6,13,0
National,X,2009,51,8622,4.95245,273,3,0,146,1,4,0
National,X,2009,52,9617,4.86638,311,0,1,146,1,9,0
National,X,2010,1,9456,4.00804,272,0,1,92,3,11,0
National,X,2010,2,8753,4.76408,272,1,3,128,2,11,0
National,X,2010,3,8468,5.63297,324,0,1,149,2,1,0
National,X,2010,4,8378,5.10862,282,0,3,134,0,9,0
National,X,2010,5,8243,5.15589,307,0,0,108,0,10,0
National,X,2010,6,8099,4.55612,250,1,0,109,0,9,0
National,X,2010,7,8375,4.77612,281,0,0,112,0,7,0
National,X,2010,8,8074,5.42482,335,0,1,99,0,3,0
National,X,2010,9,7514,6.13521,353,0,0,102,0,6,0
National,X,2010,10,7502,6.61157,364,0,0,119,0,13,0
National,X,2010,11,6485,5.70547,262,0,1,103,0,4,0
National,X,2010,12,5654,4.42165,180,0,1,58,0,11,0
National,X,2010,13,5246,4.34617,166,0,1,55,0,6,0
National,X,2010,14,4716,2.75657,102,0,1,26,0,1,0
National,X,2010,15,4095,2.05128,60,0,2,14,0,8,0
National,X,2010,16,3740,1.25668,20,0,2,12,0,13,0
National,X,2010,17,3660,0.710383,17,0,0,5,0,4,0
National,X,2010,18,3117,0.802053,18,0,1,3,0,3,0
National,X,2010,19,2891,0.622622,6,0,2,6,0,4,0
National,X,2010,20,2903,0.516707,7,0,1,3,1,3,0
National,X,2010,21,2689,0.185943,0,0,0,3,0,2,0
National,X,2010,22,2136,0.280899,3,0,1,0,0,2,0
National,X,2010,23,2163,0.277393,1,0,1,1,0,3,0
National,X,2010,24,2033,0.442696,1,0,4,1,0,3,0
National,X,2010,25,1987,0.402617,3,0,4,1,0,0,0
National,X,2010,26,1820,0.21978,1,0,1,1,0,1,0
National,X,2010,27,1636,0.305623,1,0,4,0,0,0,0
National,X,2010,28,1620,0.679012,2,0,7,0,0,2,0
National,X,2010,29,1606,0.498132,3,0,2,0,0,3,0
National,X,2010,30,1686,1.36418,1,0,13,4,0,5,0
National,X,2010,31,1520,1.05263,4,0,9,2,0,1,0
